Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United States of America,USA,48616.25462578,48597.4246142005,48967.3661201159,49905.5233074236,51348.3473376223,52649.5713054684,53596.3152372,54152.8292651299,53703.9628961266,51863.6183411923,52821.4047643404,53259.2552138539,54080.2286497215,54844.2425797154,55817.5632471958,57040.2082136605
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Viet Nam,VNM,1212.19657794381,1273.8052690094,1340.51670460271,1418.74337471509,1510.94449049599,1609.96268313651,1699.67620343393,1788.9485028957,1856.00519883979,1927.13427057454,2027.58184375924,2132.90453762087,2224.11404253256,2320.08431444934,2439.28655744423,2577.56885340113
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Yemen",YEM,2114.6525823037,2129.7524709271,2148.86820679085,2164.84028042254,2185.7692431503,2237.61638583134,2234.72145551311,2235.72953632143,2244.02361513149,2257.44759202018,2356.19957378133,1994.83660778618,1981.45797496849,2014.72887966873,1950.16251980681,1362.17379435676
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Iraq,IRQ,4172.78025105244,4116.09405320279,3660.92527507177,2250.06990123369,3354.26588756715,3310.86344473993,3471.98744698568,3565.58054079041,3781.78001712762,3768.17284328983,3881.94327045302,4030.01686860986,4387.90469058707,4504.82687537354,4446.97343234862,4440.14189252367
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Libya,LBY,10853.8059516526,10467.8776146012,10170.3095776338,11267.0627623548,11529.1086646221,12628.896152656,13176.7758911904,13712.9602583972,13403.0004645911,12549.0854345521,12913.9334939386,6569.59477578957,12599.258882136,10126.314927806,7644.24843947404,7458.48917756374
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Papua New Guinea,PNG,1989.57882204274,1920.78003889393,1854.41831737462,1832.67870314447,1821.84741071002,1875.82273480514,1915.2349405788,2000.9726186689,1934.03201558753,2003.24109727039,2140.50939027384,2102.03192060639,2139.48096660428,2162.10592595591,2391.3578028163,2484.5963398603
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sao Tome and Principe,STP,959.938180991352,973.424252100436,982.32906557627,1036.86196260207,1047.05796134884,1089.14778798762,1157.0861446542,1170.51612474435,1214.14114724792,1225.60541902997,1216.3502521663,1214.96130276731,1225.6945255615,1263.70423995281,1301.32146445028,1298.10946596396
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Somalia,SOM,233.032406774336,239.839088175856,248.636468605335,257.910352385283,266.257287496335,275.457056977944,284.47080657478,294.210421748355,304.741466711122,317.038203436977,329.970524319027,349.577469611358,369.617226464266,397.108794017201,417.516794459335,445.583078625015
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Syrian Arab Republic,SYR,1248.38488334216,1230.87200021533,1249.00621359351,1307.4814585452,1363.61946683869,1411.63184941498,1420.72293121298,1411.6899137524,1423.59559425951,1484.40523742854,1526.36894402751,1542.71957174916,1142.29080150598,884.329813332104,847.659877206276,847.731631942565
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Venezuela (Bolivarian Republic of),VEN,4796,4940,3667,3243,4288,5456,6770,8369,11311,11642,13693,10877,12938,12434,15976,7107
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,,,,,
